Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
MIR574	p14	Plus	chr4	38868032	38868127	Non-protein coding RNA	MicroRNA 574
MIR575	q21.22	Minus	chr4	82753337	82753430	Non-protein coding RNA	MicroRNA 575
MIR576	q25	Plus	chr4	109488698	109488795	Non-protein coding RNA	MicroRNA 576
MIR577	q26	Plus	chr4	114656759	114656854	Non-protein coding RNA	MicroRNA 577
MIR578	q32.3	Plus	chr4	165386242	165386337	Non-protein coding RNA	MicroRNA 578
MIR5787	p21.31	Plus	chr3	50227436	50227490	Non-protein coding RNA	MicroRNA 5787
MIR579	p13.3	Minus	chr5	32394378	32394475	Non-protein coding RNA	MicroRNA 579
MIR580	p13.2	Minus	chr5	36147892	36147988	Non-protein coding RNA	MicroRNA 580
MIR581	q11.2	Minus	chr5	53951504	53951599	Non-protein coding RNA	MicroRNA 581
MIR582	q12.1	Minus	chr5	59703606	59703703	Non-protein coding RNA	MicroRNA 582
MIR583	q15	Plus	chr5	96079138	96079212	Non-protein coding RNA	MicroRNA 583
MIR583HG	q15	Plus	chr5	96050115	96215519	Non-protein coding RNA	MIR583 Host Gene
MIR584	q32	Minus	chr5	149062313	149062409	Non-protein coding RNA	MicroRNA 584
MIR585	q35.1	Minus	chr5	169263601	169263694	Non-protein coding RNA	MicroRNA 585
MIR586	p21.1	Minus	chr6	45197674	45197770	Non-protein coding RNA	MicroRNA 586
MIR587	q21	Plus	chr6	106784125	106784220	Non-protein coding RNA	MicroRNA 587
MIR588	q22.32	Plus	chr6	126484631	126484713	Non-protein coding RNA	MicroRNA 588
MIR589	p22.1	Minus	chr7	5495819	5495917	Non-protein coding RNA	MicroRNA 589
MIR590	q11.23	Plus	chr7	74191198	74191294	Non-protein coding RNA	MicroRNA 590
MIR591	q21.3	Minus	chr7	96219662	96219756	Non-protein coding RNA	MicroRNA 591
MIR592	q31.33	Minus	chr7	127058088	127058184	Non-protein coding RNA	MicroRNA 592
MIR593	q32.1	Plus	chr7	128081861	128081960	Non-protein coding RNA	MicroRNA 593
MIR595	q36.3	Minus	chr7	158532718	158532813	Non-protein coding RNA	MicroRNA 595
MIR596	p23.3	Plus	chr8	1817231	1817307	Non-protein coding RNA	MicroRNA 596
MIR597	p23.1	Plus	chr8	10214536	10214632	Non-protein coding RNA	MicroRNA 597
MIR598	p23.1	Minus	chr8	11035206	11035302	Non-protein coding RNA	MicroRNA 598
MIR599	q22.2	Minus	chr8	99536636	99536730	Non-protein coding RNA	MicroRNA 599
MIR600	q33.3	Minus	chr9	123111546	123111643	Non-protein coding RNA	MicroRNA 600
MIR601	q33.3	Minus	chr9	123402525	123402603	Non-protein coding RNA	MicroRNA 601
MIR602	q34.3	Plus	chr9	137838419	137838516	Non-protein coding RNA	MicroRNA 602
MIR603	p12.2	Plus	chr10	24275685	24275781	Non-protein coding RNA	MicroRNA 603
MIR604	p11.23	Minus	chr10	29545004	29545097	Non-protein coding RNA	MicroRNA 604
MIR605	q21.1	Plus	chr10	51299573	51299655	Non-protein coding RNA	MicroRNA 605
MIR606	q22.2	Plus	chr10	75552458	75552553	Non-protein coding RNA	MicroRNA 606
MIR6068	p31.3	Minus	chr1	63326925	63326984	Non-protein coding RNA	MicroRNA 6068
MIR6069	q12.3	Minus	chr22	35336721	35336799	Non-protein coding RNA	MicroRNA 6069
MIR607	q24.1	Minus	chr10	96828669	96828764	Non-protein coding RNA	MicroRNA 607
MIR6070	q22.3	Minus	chr21	43609887	43609989	Non-protein coding RNA	MicroRNA 6070
MIR6071	p11.2	Minus	chr2	85783600	85783677	Non-protein coding RNA	MicroRNA 6071
MIR6072	p15.3	Minus	chr10	2076019	2076089	Non-protein coding RNA	MicroRNA 6072
MIR6073	p15.2	Minus	chr11	15969533	15969621	Non-protein coding RNA	MicroRNA 6073
MIR6074	q14.3	Minus	chr12	66023620	66023726	Non-protein coding RNA	MicroRNA 6074
MIR6075	p15.33	Minus	chr5	1510762	1510856	Non-protein coding RNA	MicroRNA 6075
MIR6076	q21.3	Plus	chr14	49966399	49966511	Non-protein coding RNA	MicroRNA 6076
MIR6077	q21.2	Plus	chr1	148388282	148388363	Non-protein coding RNA	MicroRNA 6077
MIR6078	p15.1	Plus	chr10	3991160	3991259	Non-protein coding RNA	MicroRNA 6078
MIR6079	p34.1	Plus	chr1	43838622	43838683	Non-protein coding RNA	MicroRNA 6079
MIR608	q24.31	Plus	chr10	100974985	100975084	Non-protein coding RNA	MicroRNA 608
MIR6080	q24.1	Plus	chr17	64780759	64780824	Non-protein coding RNA	MicroRNA 6080
MIR6081	q22.32	Plus	chr9	95065350	95065446	Non-protein coding RNA	MicroRNA 6081
MIR6082	q34.1	Plus	chr4	171186184	171186292	Non-protein coding RNA	MicroRNA 6082
MIR6083	q21.2	Plus	chr3	124374332	124374437	Non-protein coding RNA	MicroRNA 6083
MIR6084	p36.12	Plus	chr1	20633679	20633788	Non-protein coding RNA	MicroRNA 6084
MIR6085	q22.2	Plus	chr15	62343029	62343138	Non-protein coding RNA	MicroRNA 6085
MIR6086	p22.2	Plus	chrX	13590292	13590346	Non-protein coding RNA	MicroRNA 6086
MIR6087	q22.3	Plus	chrX	109054542	109054590	Non-protein coding RNA	MicroRNA 6087
MIR6088	q13.32	Plus	chr19	45436654	45436704	Non-protein coding RNA	MicroRNA 6088
MIR6089	p22.33	Plus	chrX	2609191	2609254	Non-protein coding RNA	MicroRNA 6089
MIR609	q25.1	Minus	chr10	104218789	104218883	Non-protein coding RNA	MicroRNA 609
MIR6090	q24.3	Plus	chr11	128522390	128522449	Non-protein coding RNA	MicroRNA 6090
MIR610	p14.1	Plus	chr11	28056815	28056910	Non-protein coding RNA	MicroRNA 610
MIR611	q12.2	Minus	chr11	61792495	61792561	Non-protein coding RNA	MicroRNA 611
MIR612	q13.1	Plus	chr11	65444458	65444557	Non-protein coding RNA	MicroRNA 612
MIR6124	p15.3	Plus	chr11	12163683	12163767	Non-protein coding RNA	MicroRNA 6124
MIR6125	q14.1	Plus	chr12	62260359	62260454	Non-protein coding RNA	MicroRNA 6125
MIR6126	p13.3	Minus	chr16	3485381	3485469	Non-protein coding RNA	MicroRNA 6126
MIR6127	p36.12	Minus	chr1	22633258	22633366	Non-protein coding RNA	MicroRNA 6127
MIR6128	q12.1	Plus	chr11	56743873	56743981	Non-protein coding RNA	MicroRNA 6128
MIR6129	q21.32	Minus	chr17	49288346	49288454	Non-protein coding RNA	MicroRNA 6129
MIR613	p13.1	Plus	chr12	12764649	12764743	Non-protein coding RNA	MicroRNA 613
MIR6130	q21.2	Plus	chr21	23079284	23079392	Non-protein coding RNA	MicroRNA 6130
MIR6131	p15.2	Plus	chr5	10478037	10478145	Non-protein coding RNA	MicroRNA 6131
MIR6132	q31.2	Plus	chr7	117020211	117020319	Non-protein coding RNA	MicroRNA 6132
MIR6133	q33	Plus	chr7	133290881	133290988	Non-protein coding RNA	MicroRNA 6133
MIR6134	p21.3	Minus	chrX	28495555	28495663	Non-protein coding RNA	MicroRNA 6134
MIR614	p13.1	Plus	chr12	12915829	12915918	Non-protein coding RNA	MicroRNA 614
MIR615	q13.13	Plus	chr12	54033950	54034045	Non-protein coding RNA	MicroRNA 615
MIR616	q13.3	Minus	chr12	57519163	57519259	Non-protein coding RNA	MicroRNA 616
MIR6165	q21.33	Plus	chr17	49510817	49510900	Non-protein coding RNA	MicroRNA 6165
MIR617	q21.31	Minus	chr12	80832533	80832629	Non-protein coding RNA	MicroRNA 617
MIR618	q21.31	Minus	chr12	80935736	80935833	Non-protein coding RNA	MicroRNA 618
MIR619	q24.11	Minus	chr12	108836908	108837006	Non-protein coding RNA	MicroRNA 619
MIR620	q24.21	Minus	chr12	116148560	116148654	Non-protein coding RNA	MicroRNA 620
MIR621	q14.11	Plus	chr13	40810766	40810861	Non-protein coding RNA	MicroRNA 621
MIR622	q31.3	Plus	chr13	90231182	90231277	Non-protein coding RNA	MicroRNA 622
MIR623	q32.3	Plus	chr13	99356131	99356228	Non-protein coding RNA	MicroRNA 623
MIR624	q12	Minus	chr14	31014646	31014742	Non-protein coding RNA	MicroRNA 624
MIR625	q23.3	Plus	chr14	65471102	65471186	Non-protein coding RNA	MicroRNA 625
MIR626	q15.1	Plus	chr15	41691585	41691678	Non-protein coding RNA	MicroRNA 626
MIR627	q15.1	Minus	chr15	42199570	42199666	Non-protein coding RNA	MicroRNA 627
MIR628	q21.3	Minus	chr15	55372940	55373034	Non-protein coding RNA	MicroRNA 628
MIR629	q23	Minus	chr15	70079372	70079468	Non-protein coding RNA	MicroRNA 629
MIR630	q24.1	Plus	chr15	72587217	72587313	Non-protein coding RNA	MicroRNA 630
MIR631	q24.2	Minus	chr15	75353611	75353685	Non-protein coding RNA	MicroRNA 631
MIR632	q11.2	Plus	chr17	32350109	32350202	Non-protein coding RNA	MicroRNA 632
MIR633	q23.2	Plus	chr17	62944215	62944312	Non-protein coding RNA	MicroRNA 633
MIR634	q24.2	Plus	chr17	66787072	66787168	Non-protein coding RNA	MicroRNA 634
MIR635	q24.2	Minus	chr17	68424451	68424548	Non-protein coding RNA	MicroRNA 635
MIR636	q25.1	Minus	chr17	76736450	76736548	Non-protein coding RNA	MicroRNA 636
MIR637	p13.3	Minus	chr19	3961414	3961512	Non-protein coding RNA	MicroRNA 637
MIR638	p13.2	Plus	chr19	10718404	10718503	Non-protein coding RNA	MicroRNA 638
MIR639	p13.12	Plus	chr19	14529543	14529640	Non-protein coding RNA	MicroRNA 639
MIR640	p13.11	Plus	chr19	19435063	19435158	Non-protein coding RNA	MicroRNA 640
MIR641	q13.2	Minus	chr19	40282543	40282641	Non-protein coding RNA	MicroRNA 641
MIR642A	q13.32	Plus	chr19	45674928	45675024	Non-protein coding RNA	MicroRNA 642a
MIR642B	q13.32	Minus	chr19	45674932	45675008	Non-protein coding RNA	MicroRNA 642b
MIR643	q13.41	Plus	chr19	52281797	52281893	Non-protein coding RNA	MicroRNA 643
MIR644A	q11.22	Plus	chr20	34466325	34466418	Non-protein coding RNA	MicroRNA 644a
MIR645	q13.13	Plus	chr20	50585786	50585879	Non-protein coding RNA	MicroRNA 645
MIR646	q13.33	Plus	chr20	60308474	60308567	Non-protein coding RNA	MicroRNA 646
MIR646HG	q13.33	Plus	chr20	60087840	60527458	Non-protein coding RNA	MIR646 Host Gene
MIR647	q13.33	Minus	chr20	63942631	63942726	Non-protein coding RNA	MicroRNA 647
MIR648	q11.21	Minus	chr22	17980868	17980961	Non-protein coding RNA	MicroRNA 648
MIR649	q11.21	Minus	chr22	21034176	21034272	Non-protein coding RNA	MicroRNA 649
MIR6499	q33.1	Minus	chr5	151522087	151522148	Non-protein coding RNA	MicroRNA 6499
MIR650	q11.22	Plus	chr22	22822776	22822871	Non-protein coding RNA	MicroRNA 650
MIR6500	p32.3	Plus	chr1	51060018	51060103	Non-protein coding RNA	MicroRNA 6500
MIR6501	q22.11	Plus	chr21	33550662	33550728	Non-protein coding RNA	MicroRNA 6501
MIR6502	q14.3	Plus	chr12	66251082	66251157	Non-protein coding RNA	MicroRNA 6502
MIR6503	q12.2	Minus	chr11	60209071	60209156	Non-protein coding RNA	MicroRNA 6503
MIR6504	q23.3	Plus	chr16	81611348	81611408	Non-protein coding RNA	MicroRNA 6504
MIR6505	q13.11	Plus	chr12	48132797	48132867	Non-protein coding RNA	MicroRNA 6505
MIR6506	p13.11	Minus	chr16	15611030	15611095	Non-protein coding RNA	MicroRNA 6506
MIR6507	q24.2	Minus	chr10	98924499	98924568	Non-protein coding RNA	MicroRNA 6507
MIR6508	q22.2	Plus	chr21	39447010	39447069	Non-protein coding RNA	MicroRNA 6508
MIR6509	q33	Minus	chr7	135206994	135207078	Non-protein coding RNA	MicroRNA 6509
MIR651	p22.31	Plus	chrX	8126965	8127061	Non-protein coding RNA	MicroRNA 651
MIR6510	q21.2	Minus	chr17	41517164	41517217	Non-protein coding RNA	MicroRNA 6510
MIR6511A1	p13.11	Plus	chr16	14925937	14926003	Non-protein coding RNA	MicroRNA 6511a-1
MIR6511A2	p13.11	Plus	chr16	16324588	16324654	Non-protein coding RNA	MicroRNA 6511a-2
MIR6511A3	p13.11	Plus	chr16	16368876	16368942	Non-protein coding RNA	MicroRNA 6511a-3
MIR6511A4	p12.3	Minus	chr16	18344013	18344079	Non-protein coding RNA	MicroRNA 6511a-4
MIR6511B1	p13.3	Minus	chr16	2106669	2106753	Non-protein coding RNA	MicroRNA 6511b-1
MIR6511B2	p13.11	Minus	chr16	15134075	15134145	Non-protein coding RNA	MicroRNA 6511b-2
MIR6512	q31.2	Minus	chr2	177313806	177313882	Non-protein coding RNA	MicroRNA 6512
MIR6513	q35	Minus	chr2	218280125	218280188	Non-protein coding RNA	MicroRNA 6513
MIR6514	q12.3	Minus	chr11	62792702	62792771	Non-protein coding RNA	MicroRNA 6514
MIR6515	p13.13	Plus	chr19	12940484	12940540	Non-protein coding RNA	MicroRNA 6515
MIR6516	q25.2	Plus	chr17	77089417	77089497	Non-protein coding RNA	MicroRNA 6516
MIR652	q23	Plus	chrX	110055329	110055426	Non-protein coding RNA	MicroRNA 652
MIR653	q21.3	Minus	chr7	93482760	93482855	Non-protein coding RNA	MicroRNA 653
MIR654	q32.31	Plus	chr14	101040219	101040299	Non-protein coding RNA	MicroRNA 654
MIR655	q32.31	Plus	chr14	101049550	101049646	Non-protein coding RNA	MicroRNA 655
MIR656	q32.31	Plus	chr14	101066724	101066801	Non-protein coding RNA	MicroRNA 656
MIR657	q25.3	Minus	chr17	81125276	81125373	Non-protein coding RNA	MicroRNA 657
MIR658	q13.1	Minus	chr22	37844272	37844371	Non-protein coding RNA	MicroRNA 658
MIR659	q13.1	Minus	chr22	37847678	37847774	Non-protein coding RNA	MicroRNA 659
MIR660	p11.23	Plus	chrX	50013241	50013337	Non-protein coding RNA	MicroRNA 660
MIR661	q24.3	Minus	chr8	143945191	143945279	Non-protein coding RNA	MicroRNA 661
MIR662	p13.3	Plus	chr16	770183	770277	Non-protein coding RNA	MicroRNA 662
MIR663A	p11.1	Minus	chr20	26208186	26208278	Non-protein coding RNA	MicroRNA 663a
MIR663AHG	p11.1	Minus	chr20	26186920	26251526	Non-protein coding RNA	MIR663A Host Gene
MIR663B	q21.2	Minus	chr2	132256966	132257080	Non-protein coding RNA	MicroRNA 663b
MIR664A	q41	Minus	chr1	220200538	220200619	Non-protein coding RNA	MicroRNA 664a
MIR664B	q28	Plus	chrX	154768596	154768656	Non-protein coding RNA	MicroRNA 664b
MIR665	q32.2	Plus	chr14	100875033	100875104	Non-protein coding RNA	MicroRNA 665
MIR668	q32.31	Plus	chr14	101055258	101055323	Non-protein coding RNA	MicroRNA 668
MIR670	p11.2	Plus	chr11	43559656	43559753	Non-protein coding RNA	MicroRNA 670
MIR670HG	p11.2	Plus	chr11	43569306	43570395	Non-protein coding RNA	MIR670 Host Gene
MIR671	q36.1	Plus	chr7	151238421	151238538	Non-protein coding RNA	MicroRNA 671
MIR6715A	q25.2	Plus	chr10	112299612	112299690	Non-protein coding RNA	MicroRNA 6715a
MIR6715B	q25.2	Minus	chr10	112299612	112299688	Non-protein coding RNA	MicroRNA 6715b
MIR6716	q23.3	Plus	chr11	118644000	118644079	Non-protein coding RNA	MicroRNA 6716
MIR6717	q11.2	Minus	chr14	21023314	21023386	Non-protein coding RNA	MicroRNA 6717
MIR6718	p11.31	Plus	chr18	3885353	3885432	Non-protein coding RNA	MicroRNA 6718
MIR6719	q13.2	Minus	chr19	39829716	39829802	Non-protein coding RNA	MicroRNA 6719
MIR6720	p25.3	Minus	chr6	1390314	1390411	Non-protein coding RNA	MicroRNA 6720
MIR6721	p21.32	Minus	chr6	32170030	32170116	Non-protein coding RNA	MicroRNA 6721
MIR6722	q34.3	Minus	chr9	136746893	136746970	Non-protein coding RNA	MicroRNA 6722
MIR6723	p36.33	Minus	chr1	632325	632413	Non-protein coding RNA	MicroRNA 6723
MIR6724-1	p11.2	Plus	chr21	8205315	8205406	Non-protein coding RNA	MicroRNA 6724-1
MIR6724-2	p11.2	Plus	chr21	8249505	8249596	Non-protein coding RNA	MicroRNA 6724-2
MIR6724-3	p11.2	Plus	chr21	8388362	8388453	Non-protein coding RNA	MicroRNA 6724-3
MIR6724-4	p11.2	Plus	chr21	8432530	8432621	Non-protein coding RNA	MicroRNA 6724-4
MIR6726	p36.33	Minus	chr1	1296110	1296170	Non-protein coding RNA	MicroRNA 6726
MIR6727	p36.33	Minus	chr1	1312502	1312566	Non-protein coding RNA	MicroRNA 6727
MIR6728	p36.23	Minus	chr1	8866502	8866590	Non-protein coding RNA	MicroRNA 6728
MIR6729	p36.22	Plus	chr1	12029158	12029222	Non-protein coding RNA	MicroRNA 6729
MIR6730	p36.21	Minus	chr1	12578957	12579023	Non-protein coding RNA	MicroRNA 6730
MIR6731	p36.11	Minus	chr1	24919345	24919416	Non-protein coding RNA	MicroRNA 6731
MIR6732	p34.3	Plus	chr1	37480230	37480289	Non-protein coding RNA	MicroRNA 6732
MIR6733	p34.2	Minus	chr1	43171652	43171712	Non-protein coding RNA	MicroRNA 6733
MIR6734	p34.2	Minus	chr1	43364648	43364715	Non-protein coding RNA	MicroRNA 6734
MIR6735	p34.2	Plus	chr1	43448539	43448611	Non-protein coding RNA	MicroRNA 6735
MIR6736	q21.1	Minus	chr1	145850587	145850645	Non-protein coding RNA	MicroRNA 6736
MIR6737	q21.3	Minus	chr1	153962351	153962420	Non-protein coding RNA	MicroRNA 6737
MIR6738	q22	Minus	chr1	155951273	155951336	Non-protein coding RNA	MicroRNA 6738
MIR6739	q32.1	Plus	chr1	201863373	201863447	Non-protein coding RNA	MicroRNA 6739
MIR6740	q32.1	Plus	chr1	202003124	202003236	Non-protein coding RNA	MicroRNA 6740
MIR6741	q42.12	Minus	chr1	225922080	225922142	Non-protein coding RNA	MicroRNA 6741
MIR6742	q42.13	Minus	chr1	228397048	228397109	Non-protein coding RNA	MicroRNA 6742
MIR6743	p15.5	Plus	chr11	209336	209406	Non-protein coding RNA	MicroRNA 6743
MIR6744	p15.5	Plus	chr11	1256605	1256670	Non-protein coding RNA	MicroRNA 6744
MIR6745	p11.2	Minus	chr11	47179611	47179737	Non-protein coding RNA	MicroRNA 6745
MIR6746	q12.2	Minus	chr11	61878216	61878278	Non-protein coding RNA	MicroRNA 6746
MIR6747	q12.3	Minus	chr11	62567011	62567071	Non-protein coding RNA	MicroRNA 6747
MIR6748	q12.3	Plus	chr11	62789815	62789885	Non-protein coding RNA	MicroRNA 6748
MIR6749	q13.1	Minus	chr11	64902387	64902455	Non-protein coding RNA	MicroRNA 6749
MIR675	p15.5	Minus	chr11	1996759	1996831	Non-protein coding RNA	MicroRNA 675
MIR6750	q13.1	Minus	chr11	64898363	64898437	Non-protein coding RNA	MicroRNA 6750
MIR6751	q13.1	Minus	chr11	65129916	65129978	Non-protein coding RNA	MicroRNA 6751
MIR6752	q13.2	Plus	chr11	67490245	67490315	Non-protein coding RNA	MicroRNA 6752
MIR6753	q13.2	Plus	chr11	68044794	68044957	Non-protein coding RNA	MicroRNA 6753
MIR6754	q13.4	Plus	chr11	71473503	71473568	Non-protein coding RNA	MicroRNA 6754
MIR6755	q14.2	Plus	chr11	86278333	86278398	Non-protein coding RNA	MicroRNA 6755
MIR6756	q23.3	Minus	chr11	119312950	119313012	Non-protein coding RNA	MicroRNA 6756
MIR6757	q13.13	Plus	chr12	53056944	53057012	Non-protein coding RNA	MicroRNA 6757
MIR6758	q13.3	Plus	chr12	57512688	57512750	Non-protein coding RNA	MicroRNA 6758
MIR6759	q14.1	Minus	chr12	57748618	57748682	Non-protein coding RNA	MicroRNA 6759
MIR676	q13.1	Plus	chrX	70022857	70022923	Non-protein coding RNA	MicroRNA 676
MIR6760	q24.12	Plus	chr12	111304142	111304209	Non-protein coding RNA	MicroRNA 6760
MIR6761	q24.12	Plus	chr12	111799834	111799905	Non-protein coding RNA	MicroRNA 6761
MIR6762	q24.13	Plus	chr12	113291523	113291608	Non-protein coding RNA	MicroRNA 6762
MIR6763	q24.33	Plus	chr12	132581997	132582061	Non-protein coding RNA	MicroRNA 6763
MIR6764	q32.2	Plus	chr14	100277357	100277417	Non-protein coding RNA	MicroRNA 6764
MIR6765	q32.33	Minus	chr14	105150778	105150864	Non-protein coding RNA	MicroRNA 6765
MIR6766	q26.1	Minus	chr15	89326739	89326810	Non-protein coding RNA	MicroRNA 6766
MIR6767	p13.3	Plus	chr16	2445392	2445457	Non-protein coding RNA	MicroRNA 6767
MIR6768	p13.3	Plus	chr16	2463967	2464038	Non-protein coding RNA	MicroRNA 6768
MIR6769A	p13.3	Plus	chr16	4671318	4671390	Non-protein coding RNA	MicroRNA 6769a
MIR6769B	q32.1	Plus	chr1	206474803	206474864	Non-protein coding RNA	MicroRNA 6769b
MIR6770-1	p13.11	Plus	chr16	14930820	14930879	Non-protein coding RNA	MicroRNA 6770-1
MIR6770-2	p13.11	Plus	chr16	16329305	16329364	Non-protein coding RNA	MicroRNA 6770-2
MIR6770-3	p12.3	Minus	chr16	18379351	18379410	Non-protein coding RNA	MicroRNA 6770-3
MIR6771	q12.1	Plus	chr16	50292616	50292675	Non-protein coding RNA	MicroRNA 6771
MIR6772	q21	Minus	chr16	57772289	57772352	Non-protein coding RNA	MicroRNA 6772
MIR6773	q22.1	Minus	chr16	68233426	68233499	Non-protein coding RNA	MicroRNA 6773
MIR6774	q24.1	Plus	chr16	85918347	85918416	Non-protein coding RNA	MicroRNA 6774
MIR6775	q24.2	Minus	chr16	87834592	87834660	Non-protein coding RNA	MicroRNA 6775
MIR6776	p13.3	Minus	chr17	2692861	2692919	Non-protein coding RNA	MicroRNA 6776
MIR6777	p11.2	Minus	chr17	17813480	17813545	Non-protein coding RNA	MicroRNA 6777
MIR6778	p11.2	Minus	chr17	18340814	18340886	Non-protein coding RNA	MicroRNA 6778
MIR6779	q12	Plus	chr17	38914979	38915042	Non-protein coding RNA	MicroRNA 6779
MIR6780A	q21.2	Minus	chr17	42708084	42708151	Non-protein coding RNA	MicroRNA 6780a
MIR6780B	p21.1	Plus	chr6	43434542	43434620	Non-protein coding RNA	MicroRNA 6780b
MIR6781	q21.31	Minus	chr17	42823880	42823943	Non-protein coding RNA	MicroRNA 6781
MIR6782	q21.31	Minus	chr17	44207771	44207839	Non-protein coding RNA	MicroRNA 6782
MIR6783	q21.31	Minus	chr17	44934618	44934681	Non-protein coding RNA	MicroRNA 6783
MIR6784	q21.31	Minus	chr17	45114367	45114433	Non-protein coding RNA	MicroRNA 6784
MIR6785	q25.1	Plus	chr17	75498548	75498628	Non-protein coding RNA	MicroRNA 6785
MIR6786	q25.3	Plus	chr17	81693757	81693869	Non-protein coding RNA	MicroRNA 6786
MIR6787	q25.3	Plus	chr17	82236668	82236728	Non-protein coding RNA	MicroRNA 6787
MIR6788	p11.22	Minus	chr18	10759584	10759649	Non-protein coding RNA	MicroRNA 6788
MIR6789	p13.3	Minus	chr19	2235829	2235926	Non-protein coding RNA	MicroRNA 6789
MIR6790	p13.3	Minus	chr19	6392921	6392983	Non-protein coding RNA	MicroRNA 6790
MIR6791	p13.3	Minus	chr19	6736712	6736778	Non-protein coding RNA	MicroRNA 6791
MIR6792	p13.2	Plus	chr19	7617439	7617505	Non-protein coding RNA	MicroRNA 6792
MIR6793	p13.2	Plus	chr19	10828973	10829035	Non-protein coding RNA	MicroRNA 6793
MIR6794	p13.13	Plus	chr19	12852260	12852327	Non-protein coding RNA	MicroRNA 6794
MIR6795	p13.12	Minus	chr19	15179283	15179350	Non-protein coding RNA	MicroRNA 6795
MIR6796	q13.2	Plus	chr19	40369846	40369907	Non-protein coding RNA	MicroRNA 6796
MIR6797	q13.2	Plus	chr19	41869627	41869698	Non-protein coding RNA	MicroRNA 6797
MIR6798	q13.33	Plus	chr19	49009906	49009972	Non-protein coding RNA	MicroRNA 6798
MIR6799	q13.33	Plus	chr19	49791866	49791934	Non-protein coding RNA	MicroRNA 6799
MIR6800	q13.33	Plus	chr19	49832018	49832099	Non-protein coding RNA	MicroRNA 6800
MIR6801	q13.41	Plus	chr19	52222020	52222098	Non-protein coding RNA	MicroRNA 6801
MIR6802	q13.42	Minus	chr19	55239912	55239976	Non-protein coding RNA	MicroRNA 6802
MIR6803	q13.42	Minus	chr19	55245186	55245250	Non-protein coding RNA	MicroRNA 6803
MIR6804	q13.42	Minus	chr19	55230885	55230952	Non-protein coding RNA	MicroRNA 6804
MIR6805	q13.42	Plus	chr19	55388181	55388242	Non-protein coding RNA	MicroRNA 6805
MIR6806	q13.43	Plus	chr19	58334688	58334751	Non-protein coding RNA	MicroRNA 6806
MIR6807	q13.43	Plus	chr19	58550285	58550376	Non-protein coding RNA	MicroRNA 6807
MIR6808	p36.33	Minus	chr1	1339650	1339708	Non-protein coding RNA	MicroRNA 6808
MIR6809	q35	Minus	chr2	217900513	217900628	Non-protein coding RNA	MicroRNA 6809
MIR6810	q35	Plus	chr2	218341911	218341980	Non-protein coding RNA	MicroRNA 6810
MIR6811	q37.3	Plus	chr2	237510931	237510988	Non-protein coding RNA	MicroRNA 6811
MIR6812	q13.12	Plus	chr20	45425510	45425573	Non-protein coding RNA	MicroRNA 6812
MIR6813	q13.33	Minus	chr20	64076955	64077010	Non-protein coding RNA	MicroRNA 6813
MIR6814	q22.3	Minus	chr21	41746772	41746841	Non-protein coding RNA	MicroRNA 6814
MIR6815	q22.3	Plus	chr21	45478266	45478326	Non-protein coding RNA	MicroRNA 6815
MIR6816	q11.21	Minus	chr22	20114686	20114751	Non-protein coding RNA	MicroRNA 6816
MIR6817	q11.23	Plus	chr22	25455646	25455711	Non-protein coding RNA	MicroRNA 6817
MIR6818	q12.2	Plus	chr22	30007049	30007113	Non-protein coding RNA	MicroRNA 6818
MIR6819	q12.3	Minus	chr22	36286847	36286907	Non-protein coding RNA	MicroRNA 6819
MIR6820	q13.1	Plus	chr22	37967563	37967624	Non-protein coding RNA	MicroRNA 6820
MIR6821	q13.33	Plus	chr22	49962866	49962939	Non-protein coding RNA	MicroRNA 6821
MIR6822	p22.2	Plus	chr3	39138206	39138266	Non-protein coding RNA	MicroRNA 6822
MIR6823	p21.31	Minus	chr3	48549961	48550021	Non-protein coding RNA	MicroRNA 6823
MIR6824	p21.31	Minus	chr3	48633636	48633698	Non-protein coding RNA	MicroRNA 6824
MIR6825	q21.3	Minus	chr3	127575266	127575331	Non-protein coding RNA	MicroRNA 6825
MIR6826	q21.3	Plus	chr3	129272146	129272243	Non-protein coding RNA	MicroRNA 6826
MIR6827	q22.2	Minus	chr3	134367804	134367862	Non-protein coding RNA	MicroRNA 6827
MIR6828	q26.2	Plus	chr3	170423103	170423162	Non-protein coding RNA	MicroRNA 6828
MIR6829	q29	Minus	chr3	195882329	195882395	Non-protein coding RNA	MicroRNA 6829
MIR6830	q31.1	Minus	chr5	132217849	132217918	Non-protein coding RNA	MicroRNA 6830
MIR6831	q31.3	Minus	chr5	140563671	140563751	Non-protein coding RNA	MicroRNA 6831
MIR6832	p21.33	Plus	chr6	31633787	31633858	Non-protein coding RNA	MicroRNA 6832
MIR6833	p21.32	Plus	chr6	32179816	32179876	Non-protein coding RNA	MicroRNA 6833
MIR6834	p21.32	Plus	chr6	33290245	33290325	Non-protein coding RNA	MicroRNA 6834
MIR6835	p21.31	Plus	chr6	34240673	34240736	Non-protein coding RNA	MicroRNA 6835
MIR6836	p22.3	Minus	chr7	2257515	2257577	Non-protein coding RNA	MicroRNA 6836
MIR6837	p13	Plus	chr7	44051766	44051829	Non-protein coding RNA	MicroRNA 6837
MIR6838	p13	Minus	chr7	44073378	44073433	Non-protein coding RNA	MicroRNA 6838
